"GEO_ID","NAME","B15003_001E","B15003_001M","B15003_002E","B15003_002M","B15003_003E","B15003_003M","B15003_004E","B15003_004M","B15003_005E","B15003_005M","B15003_006E","B15003_006M","B15003_007E","B15003_007M","B15003_008E","B15003_008M","B15003_009E","B15003_009M","B15003_010E","B15003_010M","B15003_011E","B15003_011M","B15003_012E","B15003_012M","B15003_013E","B15003_013M","B15003_014E","B15003_014M","B15003_015E","B15003_015M","B15003_016E","B15003_016M","B15003_017E","B15003_017M","B15003_018E","B15003_018M","B15003_019E","B15003_019M","B15003_020E","B15003_020M","B15003_021E","B15003_021M","B15003_022E","B15003_022M","B15003_023E","B15003_023M","B15003_024E","B15003_024M","B15003_025E","B15003_025M"
"1500000US720019567002","Block Group 2, Census Tract 9567, Adjuntas Municipio, Puerto Rico","721","147","15","14","0","14","0","14","0","14","6","10","13","15","12","14","5","7","0","14","8","9","1","2","12","14","13","21","0","14","18","23","165","74","0","14","14","20","208","74","78","67","93","35","48","29","4","7","8","11"
"1500000US720019568001","Block Group 1, Census Tract 9568, Adjuntas Municipio, Puerto Rico","1357","280","11","15","17","29","0","14","0","14","0","14","77","56","46","45","10","18","52","45","9","14","56","49","38","43","0","14","76","85","0","14","486","144","30","34","19","21","109","61","135","93","163","99","23","25","0","14","0","14"
"1500000US720019568002","Block Group 2, Census Tract 9568, Adjuntas Municipio, Puerto Rico","1723","318","47","57","0","14","0","14","41","44","0","14","30","28","72","71","19","30","56","48","42","38","68","53","71","79","23","28","33","37","0","14","435","170","38","33","35","37","308","166","174","105","192","97","39","65","0","14","0","14"
"1500000US720034301001","Block Group 1, Census Tract 4301, Aguada Municipio, Puerto Rico","942","231","0","14","0","14","0","14","0","14","0","14","19","30","0","14","16","26","62","48","0","14","36","40","39","31","43","40","17","27","0","14","355","127","0","14","0","14","132","95","118","93","105","66","0","14","0","14","0","14"
"1500000US720034301002","Block Group 2, Census Tract 4301, Aguada Municipio, Puerto Rico","1423","319","23","38","0","14","0","14","0","14","0","14","42","48","48","53","67","55","74","55","128","106","53","50","89","79","18","30","52","49","0","14","272","132","51","50","0","14","132","98","89","83","188","121","97","67","0","14","0","14"
"1500000US720034301003","Block Group 3, Census Tract 4301, Aguada Municipio, Puerto Rico","536","171","0","14","0","14","0","14","0","14","0","14","0","14","18","28","13","21","0","14","8","12","32","37","41","46","25","30","0","14","0","14","193","94","0","14","12","19","44","52","69","65","30","47","34","42","0","14","17","28"
"1500000US720034302001","Block Group 1, Census Tract 4302, Aguada Municipio, Puerto Rico","1513","372","0","14","0","14","0","14","0","14","0","14","46","54","74","72","25","41","56","47","33","53","46","70","40","47","19","32","66","61","0","14","454","164","0","14","16","25","159","113","143","129","218","121","77","89","41","66","0","14"
"1500000US720034302002","Block Group 2, Census Tract 4302, Aguada Municipio, Puerto Rico","537","176","17","29","0","14","0","14","0","14","0","14","28","46","12","19","0","14","5","11","31","49","31","49","38","61","29","45","30","49","15","23","116","79","15","23","43","67","72","63","42","67","0","14","13","22","0","14","0","14"
"1500000US720034302003","Block Group 3, Census Tract 4302, Aguada Municipio, Puerto Rico","357","206","0","14","0","14","0","14","0","14","0","14","0","14","30","47","0","14","0","14","0","14","0","14","6","13","0","14","32","52","0","14","73","55","0","14","23","36","11","18","53","48","129","113","0","14","0","14","0","14"
"1500000US720034302004","Block Group 4, Census Tract 4302, Aguada Municipio, Puerto Rico","1093","338","22","36","0","14","0","14","0","14","0","14","0","14","43","66","0","14","31","51","19","30","55","45","32","52","106","101","22","37","31","51","269","157","0","14","23","37","32","51","174","168","177","139","33","51","24","39","0","14"
"1500000US720034303001","Block Group 1, Census Tract 4303, Aguada Municipio, Puerto Rico","447","196","0","14","0","14","0","14","0","14","37","57","32","37","0","14","0","14","42","47","14","22","9","16","36","41","0","14","15","24","0","14","121","91","21","32","0","14","44","44","38","45","28","31","0","14","0","14","10","17"
"1500000US720034303002","Block Group 2, Census Tract 4303, Aguada Municipio, Puerto Rico","454","154","32","34","0","14","12","19","31","49","0","14","28","33","0","14","0","14","22","25","0","14","0","14","9","15","24","27","30","34","0","14","111","54","16","28","0","14","0","14","60","65","68","63","11","16","0","14","0","14"
"1500000US720034303003","Block Group 3, Census Tract 4303, Aguada Municipio, Puerto Rico","843","297","40","60","0","14","0","14","0","14","0","14","0","14","70","57","27","42","57","47","0","14","46","55","17","28","0","14","38","51","0","14","162","81","30","49","7","13","150","111","76","74","59","44","64","51","0","14","0","14"
"1500000US720034304011","Block Group 1, Census Tract 4304.01, Aguada Municipio, Puerto Rico","1034","300","32","36","0","14","0","14","0","14","0","14","34","38","27","31","85","77","37","43","35","32","53","68","29","32","0","14","23","35","0","14","241","127","87","75","0","14","74","74","134","86","77","83","66","87","0","14","0","14"
"1500000US720034304012","Block Group 2, Census Tract 4304.01, Aguada Municipio, Puerto Rico","1180","304","0","14","0","14","0","14","25","29","14","22","0","14","34","54","0","14","69","68","15","24","34","38","91","65","0","14","24","38","0","14","263","123","0","14","0","14","160","116","173","105","235","122","43","53","0","14","0","14"
"1500000US720034304013","Block Group 3, Census Tract 4304.01, Aguada Municipio, Puerto Rico","1188","344","9","14","0","14","0","14","0","14","12","19","16","25","9","15","14","21","57","52","29","46","46","52","48","44","0","14","13","20","0","14","342","138","71","68","23","35","51","57","275","161","125","74","48","56","0","14","0","14"
"1500000US720034304021","Block Group 1, Census Tract 4304.02, Aguada Municipio, Puerto Rico","1247","297","70","104","0","14","0","14","27","29","0","14","44","39","60","49","108","67","147","84","20","32","0","14","42","39","29","35","26","43","0","14","297","126","48","58","19","22","70","49","31","37","209","132","0","14","0","14","0","14"
"1500000US720034304022","Block Group 2, Census Tract 4304.02, Aguada Municipio, Puerto Rico","1252","347","44","42","28","47","0","14","0","14","32","34","14","23","21","25","49","43","77","55","43","35","79","48","37","34","35","55","0","14","0","14","338","151","22","25","32","50","105","98","71","45","209","119","16","25","0","14","0","14"
"1500000US720034304023","Block Group 3, Census Tract 4304.02, Aguada Municipio, Puerto Rico","916","292","18","28","0","14","0","14","0","14","37","60","0","14","14","22","30","49","23","26","12","19","38","44","156","82","20","32","43","53","0","14","191","101","12","18","0","14","30","36","134","88","108","103","32","38","0","14","18","29"
"1500000US720034305011","Block Group 1, Census Tract 4305.01, Aguada Municipio, Puerto Rico","851","300","107","96","0","14","0","14","23","36","16","26","21","34","75","84","45","51","0","14","0","14","84","70","37","43","0","14","0","14","0","14","152","101","36","57","38","61","0","14","83","82","134","160","0","14","0","14","0","14"
"1500000US720034305012","Block Group 2, Census Tract 4305.01, Aguada Municipio, Puerto Rico","1024","418","0","14","0","14","0","14","0","14","0","14","27","42","14","23","23","38","79","60","23","37","38","61","14","23","0","14","26","43","0","14","256","137","0","14","0","14","89","101","123","103","252","158","60","87","0","14","0","14"
"1500000US720034305013","Block Group 3, Census Tract 4305.01, Aguada Municipio, Puerto Rico","734","296","15","24","0","14","0","14","0","14","0","14","0","14","40","63","0","14","39","63","0","14","0","14","0","14","0","14","0","14","0","14","61","58","32","37","0","14","55","63","101","101","342","249","25","41","0","14","24","39"
"1500000US720034305014","Block Group 4, Census Tract 4305.01, Aguada Municipio, Puerto Rico","1354","361","70","90","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","21","34","103","108","85","99","45","51","0","14","310","143","70","67","0","14","84","62","121","162","231","181","110","84","25","40","79","73"
"1500000US720034305021","Block Group 1, Census Tract 4305.02, Aguada Municipio, Puerto Rico","1824","321","59","70","0","14","0","14","18","28","38","51","75","50","103","81","27","30","140","64","29","24","76","58","162","94","12","20","131","84","9","14","265","109","46","45","27","29","118","71","194","86","173","99","78","78","44","68","0","14"
"1500000US720034305022","Block Group 2, Census Tract 4305.02, Aguada Municipio, Puerto Rico","1469","324","158","99","0","14","0","14","0","14","28","31","51","42","69","39","75","63","36","35","24","29","65","53","21","34","0","14","95","81","35","47","277","117","105","64","39","36","89","70","23","37","149","112","130","94","0","14","0","14"
"1500000US720034306011","Block Group 1, Census Tract 4306.01, Aguada Municipio, Puerto Rico","1151","328","44","69","0","14","0","14","0","14","10","17","93","76","27","41","16","27","52","44","47","33","82","61","15","25","0","14","20","32","18","20","238","119","27","32","17","26","69","66","125","86","208","139","26","41","0","14","17","26"
"1500000US720034306012","Block Group 2, Census Tract 4306.01, Aguada Municipio, Puerto Rico","851","234","15","17","0","14","0","14","0","14","26","44","13","22","13","21","0","14","50","38","51","61","58","47","33","38","0","14","21","25","8","14","170","91","17","19","0","14","126","93","90","113","127","70","14","22","0","14","19","28"
"1500000US720034306013","Block Group 3, Census Tract 4306.01, Aguada Municipio, Puerto Rico","363","143","14","24","0","14","0","14","0","14","0","14","18","29","25","31","15","24","0","14","0","14","14","22","45","45","12","19","13","20","9","14","89","74","24","38","0","14","0","14","56","44","29","34","0","14","0","14","0","14"
"1500000US720034306014","Block Group 4, Census Tract 4306.01, Aguada Municipio, Puerto Rico","619","240","41","39","0","14","0","14","17","27","0","14","46","72","16","25","14","21","20","32","35","39","26","22","30","34","13","21","0","14","0","14","195","148","19","30","0","14","40","38","54","45","17","26","36","42","0","14","0","14"
"1500000US720034306021","Block Group 1, Census Tract 4306.02, Aguada Municipio, Puerto Rico","694","213","10","16","0","14","0","14","0","14","24","37","43","34","15","25","25","40","69","58","14","22","23","38","129","101","0","14","32","36","0","14","114","112","28","34","30","36","58","51","14","22","57","55","9","15","0","14","0","14"
"1500000US720034306022","Block Group 2, Census Tract 4306.02, Aguada Municipio, Puerto Rico","1516","264","0","14","0","14","0","14","0","14","0","14","0","14","24","27","0","14","47","34","21","32","34","38","88","57","18","30","15","25","0","14","257","96","20","31","0","14","169","118","317","141","328","162","102","68","0","14","76","70"
"1500000US720039900000","Block Group 0, Census Tract 9900, Aguada Municipio, Puerto Rico","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14"
"1500000US720054001001","Block Group 1, Census Tract 4001, Aguadilla Municipio, Puerto Rico","794","240","0","14","0","14","0","14","13","22","0","14","0","14","0","14","25","40","0","14","0","14","36","46","15","26","0","14","0","14","0","14","242","129","0","14","0","14","112","102","22","36","264","140","65","59","0","14","0","14"
"1500000US720054001002","Block Group 2, Census Tract 4001, Aguadilla Municipio, Puerto Rico","284","141","20","32","0","14","0","14","0","14","0","14","0","14","23","37","0","14","25","39","0","14","0","14","42","48","0","14","0","14","0","14","103","92","43","35","0","14","27","42","1","3","0","14","0","14","0","14","0","14"
"1500000US720054001003","Block Group 3, Census Tract 4001, Aguadilla Municipio, Puerto Rico","712","252","0","14","0","14","0","14","0","14","0","14","0","14","30","50","0","14","0","14","0","14","0","14","33","53","0","14","0","14","0","14","248","150","29","45","0","14","96","81","0","14","192","144","37","58","30","49","17","27"
"1500000US720054001004","Block Group 4, Census Tract 4001, Aguadilla Municipio, Puerto Rico","935","259","13","21","0","14","0","14","59","69","0","14","26","41","31","36","29","46","31","52","51","56","31","49","109","90","0","14","0","14","0","14","258","117","16","25","95","69","45","52","57","71","59","68","25","40","0","14","0","14"
"1500000US720054001005","Block Group 5, Census Tract 4001, Aguadilla Municipio, Puerto Rico","552","239","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","109","99","0","14","96","103","0","14","0","14","75","73","65","60","170","158","37","58","0","14","0","14"
"1500000US720054003001","Block Group 1, Census Tract 4003, Aguadilla Municipio, Puerto Rico","989","206","21","33","0","14","0","14","0","14","0","14","0","14","29","35","0","14","18","28","2","4","16","26","12","19","0","14","9","14","9","14","100","57","0","14","19","20","59","45","92","54","348","134","219","124","26","30","10","15"
"1500000US720054003002","Block Group 2, Census Tract 4003, Aguadilla Municipio, Puerto Rico","1033","231","0","14","0","14","0","14","0","14","0","14","17","27","19","31","18","27","14","21","0","14","0","14","85","47","0","14","21","34","0","14","214","110","39","46","0","14","85","55","52","44","338","132","92","55","27","44","12","20"
"1500000US720054004001","Block Group 1, Census Tract 4004, Aguadilla Municipio, Puerto Rico","826","220","31","35","0","14","0","14","0","14","0","14","51","50","0","14","47","58","40","38","21","34","0","14","63","49","0","14","68","56","14","22","222","102","65","49","18","28","89","62","45","43","41","38","11","19","0","14","0","14"
"1500000US720054004002","Block Group 2, Census Tract 4004, Aguadilla Municipio, Puerto Rico","805","219","0","14","0","14","0","14","0","14","32","52","0","14","36","39","56","53","21","24","0","14","0","14","54","50","0","14","0","14","0","14","143","67","23","37","0","14","141","91","64","55","180","104","43","41","12","21","0","14"
"1500000US720054004003","Block Group 3, Census Tract 4004, Aguadilla Municipio, Puerto Rico","1024","237","13","21","0","14","0","14","0","14","40","46","31","36","37","57","0","14","37","37","74","49","33","38","47","44","35","36","28","34","0","14","198","95","31","35","0","14","129","88","82","61","132","70","56","47","10","15","11","17"
"1500000US720054005011","Block Group 1, Census Tract 4005.01, Aguadilla Municipio, Puerto Rico","1936","282","38","44","0","14","0","14","42","40","0","14","33","30","0","14","27","31","31","34","75","63","54","45","90","71","43","42","60","41","38","37","501","150","33","34","11","18","242","119","119","71","264","88","146","68","66","50","23","37"
"1500000US720054005012","Block Group 2, Census Tract 4005.01, Aguadilla Municipio, Puerto Rico","634","173","24","38","0","14","0","14","0","14","15","24","0","14","8","13","0","14","14","22","15","24","26","30","38","36","0","14","38","44","8","13","177","90","52","50","13","22","113","86","51","48","27","32","0","14","0","14","15","23"
"1500000US720054005021","Block Group 1, Census Tract 4005.02, Aguadilla Municipio, Puerto Rico","1830","432","104","165","0","14","0","14","0","14","0","14","0","14","30","48","20","32","37","43","33","52","0","14","88","80","0","14","0","14","0","14","483","219","44","69","56","86","170","130","75","74","590","197","76","74","24","41","0","14"
"1500000US720054005022","Block Group 2, Census Tract 4005.02, Aguadilla Municipio, Puerto Rico","1434","338","0","14","0","14","0","14","0","14","0","14","14","22","35","57","48","76","0","14","0","14","18","29","59","69","0","14","28","45","16","26","362","168","24","39","15","25","307","156","140","103","243","145","108","101","17","28","0","14"
"1500000US720054005023","Block Group 3, Census Tract 4005.02, Aguadilla Municipio, Puerto Rico","625","215","0","14","0","14","0","14","0","14","0","14","0","14","23","38","41","67","23","36","0","14","41","68","25","40","22","36","0","14","56","62","120","117","22","37","33","53","51","59","92","83","76","71","0","14","0","14","0","14"
"1500000US720054006001","Block Group 1, Census Tract 4006, Aguadilla Municipio, Puerto Rico","485","117","9","14","0","14","0","14","0","14","25","29","0","14","7","12","25","30","7","12","20","31","38","31","8","12","0","14","10","15","0","14","105","66","20","34","41","47","124","61","0","14","30","32","14","19","2","5","0","14"
"1500000US720054006002","Block Group 2, Census Tract 4006, Aguadilla Municipio, Puerto Rico","628","187","53","52","0","14","0","14","0","14","10","14","51","61","7","13","0","14","9","15","28","34","0","14","0","14","26","30","0","14","18","20","166","77","7","12","19","21","0","14","54","50","152","115","10","16","18","20","0","14"
"1500000US720054006003","Block Group 3, Census Tract 4006, Aguadilla Municipio, Puerto Rico","546","162","0","14","0","14","0","14","0","14","0","14","0","14","0","14","16","26","0","14","17","26","0","14","19","31","21","35","23","28","0","14","176","113","64","54","31","49","73","62","46","44","60","52","0","14","0","14","0","14"
"1500000US720054007001","Block Group 1, Census Tract 4007, Aguadilla Municipio, Puerto Rico","996","219","18","21","0","14","0","14","0","14","0","14","20","32","0","14","0","14","0","14","0","14","18","27","24","28","9","14","7","13","25","38","268","81","0","14","7","11","136","91","81","60","236","93","113","67","11","16","23","28"
"1500000US720054007002","Block Group 2, Census Tract 4007, Aguadilla Municipio, Puerto Rico","358","145","0","14","0","14","0","14","0","14","0","14","32","40","0","14","0","14","0","14","19","29","0","14","0","14","0","14","0","14","0","14","99","61","33","40","0","14","0","14","41","47","67","63","33","36","17","28","17","28"
"1500000US720054007003","Block Group 3, Census Tract 4007, Aguadilla Municipio, Puerto Rico","464","158","23","27","0","14","0","14","0","14","0","14","0","14","24","27","0","14","30","36","0","14","7","11","0","14","0","14","26","25","9","14","76","46","0","14","0","14","67","43","0","14","117","91","59","47","8","14","18","19"
"1500000US720054008001","Block Group 1, Census Tract 4008, Aguadilla Municipio, Puerto Rico","666","152","20","19","0","14","0","14","0","14","0","14","21","22","32","24","40","34","35","34","5","9","21","22","34","31","18","19","30","19","9","14","244","95","9","10","12","13","49","35","39","30","41","31","7","10","0","14","0","14"
"1500000US720054008002","Block Group 2, Census Tract 4008, Aguadilla Municipio, Puerto Rico","242","84","27","30","0","14","0","14","0","14","15","23","8","13","0","14","5","9","26","29","21","16","0","14","19","23","0","14","7","12","10","16","55","44","14","15","0","14","24","23","0","14","11","17","0","14","0","14","0","14"
"1500000US720054009001","Block Group 1, Census Tract 4009, Aguadilla Municipio, Puerto Rico","1422","219","59","47","0","14","0","14","0","14","0","14","0","14","61","47","22","35","72","60","34","39","25","23","73","54","21","24","51","45","9","14","434","146","21","34","15","24","234","122","117","78","137","84","0","14","21","33","16","25"
"1500000US720054009002","Block Group 2, Census Tract 4009, Aguadilla Municipio, Puerto Rico","125","87","20","32","0","14","0","14","0","14","0","14","0","14","18","28","0","14","0","14","0","14","0","14","0","14","0","14","13","20","0","14","17","27","0","14","0","14","32","39","25","28","0","14","0","14","0","14","0","14"
"1500000US720054010001","Block Group 1, Census Tract 4010, Aguadilla Municipio, Puerto Rico","442","123","0","14","0","14","0","14","12","18","6","9","12","20","33","27","0","14","43","34","0","14","0","14","19","18","14","17","0","14","9","14","162","75","15","17","0","14","15","24","15","17","46","32","32","41","9","14","0","14"
"1500000US720054010002","Block Group 2, Census Tract 4010, Aguadilla Municipio, Puerto Rico","502","113","16","24","0","14","0","14","0","14","0","14","0","14","10","17","0","14","9","15","14","22","24","23","52","41","0","14","24","27","0","14","159","66","16","20","0","14","60","39","50","38","34","27","34","28","0","14","0","14"
"1500000US720054011001","Block Group 1, Census Tract 4011, Aguadilla Municipio, Puerto Rico","806","167","42","30","6","9","0","14","0","14","0","14","5","7","26","26","0","14","5","8","6","9","19","25","83","49","25","25","16","18","14","24","212","70","0","14","24","22","98","42","47","33","146","57","12","20","9","15","11","12"
"1500000US720054012001","Block Group 1, Census Tract 4012, Aguadilla Municipio, Puerto Rico","1362","282","0","14","0","14","0","14","0","14","68","64","0","14","44","51","10","15","59","58","0","14","81","71","98","64","17","28","10","15","20","23","393","131","0","14","19","31","95","60","133","77","238","100","77","60","0","14","0","14"
"1500000US720054012002","Block Group 2, Census Tract 4012, Aguadilla Municipio, Puerto Rico","1078","237","15","24","0","14","0","14","0","14","28","31","14","22","41","38","32","36","0","14","11","16","79","54","11","16","0","14","13","21","10","16","239","108","0","14","48","58","164","96","94","67","240","128","20","32","0","14","19","29"
"1500000US720054013011","Block Group 1, Census Tract 4013.01, Aguadilla Municipio, Puerto Rico","641","208","0","14","0","14","0","14","16","25","8","12","0","14","9","14","8","12","74","54","16","25","9","15","39","37","0","14","23","28","16","25","97","73","0","14","35","43","47","44","96","91","47","38","87","79","14","21","0","14"
"1500000US720054013012","Block Group 2, Census Tract 4013.01, Aguadilla Municipio, Puerto Rico","604","174","0","14","0","14","0","14","0","14","16","27","12","19","0","14","23","27","9","13","18","21","21","26","20","22","0","14","42","39","0","14","212","118","8","12","22","35","86","56","9","15","106","71","0","14","0","14","0","14"
"1500000US720054013013","Block Group 3, Census Tract 4013.01, Aguadilla Municipio, Puerto Rico","1556","276","43","38","0","14","14","24","0","14","0","14","0","14","30","33","30","36","25","28","18","29","38","28","71","62","54","50","64","67","10","16","529","160","62","51","67","51","129","78","147","78","180","110","45","40","0","14","0","14"
"1500000US720054013021","Block Group 1, Census Tract 4013.02, Aguadilla Municipio, Puerto Rico","682","370","22","34","0","14","0","14","0","14","0","14","19","30","24","39","0","14","40","63","31","51","0","14","0","14","0","14","41","64","0","14","217","111","36","57","0","14","0","14","91","86","161","141","0","14","0","14","0","14"
"1500000US720054013022","Block Group 2, Census Tract 4013.02, Aguadilla Municipio, Puerto Rico","1332","324","0","14","0","14","0","14","0","14","0","14","0","14","64","70","23","38","0","14","0","14","0","14","0","14","27","45","0","14","0","14","349","162","30","49","0","14","179","130","99","81","405","165","102","99","54","43","0","14"
"1500000US720054013023","Block Group 3, Census Tract 4013.02, Aguadilla Municipio, Puerto Rico","815","262","61","61","0","14","0","14","0","14","0","14","35","55","0","14","0","14","18","28","28","46","63","72","33","38","42","68","26","41","0","14","243","124","0","14","0","14","160","106","0","14","79","65","0","14","0","14","27","43"
"1500000US720054013024","Block Group 4, Census Tract 4013.02, Aguadilla Municipio, Puerto Rico","1198","349","48","75","17","28","0","14","0","14","34","55","0","14","0","14","31","50","28","44","0","14","0","14","49","44","33","54","0","14","16","25","251","112","88","97","0","14","206","172","190","113","175","126","32","34","0","14","0","14"
"1500000US720054014011","Block Group 1, Census Tract 4014.01, Aguadilla Municipio, Puerto Rico","1452","307","15","16","0","14","0","14","1","2","20","24","14","12","27","21","54","40","107","69","74","52","30","29","171","64","75","33","42","25","0","14","343","117","136","52","2","3","91","40","34","28","134","72","79","57","0","14","3","6"
"1500000US720054014012","Block Group 2, Census Tract 4014.01, Aguadilla Municipio, Puerto Rico","686","192","0","14","0","14","0","14","0","14","0","14","35","40","7","12","40","36","40","37","49","47","18","28","27","43","0","14","14","22","7","11","260","108","9","14","8","13","48","56","31","34","78","51","15","25","0","14","0","14"
"1500000US720054014013","Block Group 3, Census Tract 4014.01, Aguadilla Municipio, Puerto Rico","1157","246","68","63","0","14","0","14","0","14","0","14","18","28","18","28","54","60","55","45","37","42","0","14","105","72","35","39","43","37","0","14","243","92","89","68","0","14","104","75","80","63","176","90","32","37","0","14","0","14"
"1500000US720054014021","Block Group 1, Census Tract 4014.02, Aguadilla Municipio, Puerto Rico","694","181","10","16","0","14","0","14","9","14","0","14","0","14","11","16","14","23","0","14","0","14","17","27","31","34","15","24","19","31","9","14","321","143","12","20","0","14","81","51","109","74","36","38","0","14","0","14","0","14"
"1500000US720054014022","Block Group 2, Census Tract 4014.02, Aguadilla Municipio, Puerto Rico","987","193","26","35","0","14","0","14","0","14","17","27","0","14","0","14","31","37","12","19","26","30","14","24","69","50","5","13","15","25","23","26","312","140","0","14","41","38","128","69","61","50","136","78","59","52","12","21","0","14"
"1500000US720054014023","Block Group 3, Census Tract 4014.02, Aguadilla Municipio, Puerto Rico","546","182","0","14","0","14","0","14","0","14","0","14","0","14","15","24","0","14","0","14","0","14","9","14","0","14","0","14","28","34","25","42","122","83","0","14","0","14","81","60","53","45","167","94","46","38","0","14","0","14"
