"GEO_ID","NAME","B17017_001E","B17017_001M","B17017_002E","B17017_002M","B17017_003E","B17017_003M","B17017_004E","B17017_004M","B17017_005E","B17017_005M","B17017_006E","B17017_006M","B17017_007E","B17017_007M","B17017_008E","B17017_008M","B17017_009E","B17017_009M","B17017_010E","B17017_010M","B17017_011E","B17017_011M","B17017_012E","B17017_012M","B17017_013E","B17017_013M","B17017_014E","B17017_014M","B17017_015E","B17017_015M","B17017_016E","B17017_016M","B17017_017E","B17017_017M","B17017_018E","B17017_018M","B17017_019E","B17017_019M","B17017_020E","B17017_020M","B17017_021E","B17017_021M","B17017_022E","B17017_022M","B17017_023E","B17017_023M","B17017_024E","B17017_024M","B17017_025E","B17017_025M","B17017_026E","B17017_026M","B17017_027E","B17017_027M","B17017_028E","B17017_028M","B17017_029E","B17017_029M","B17017_030E","B17017_030M","B17017_031E","B17017_031M","B17017_032E","B17017_032M","B17017_033E","B17017_033M","B17017_034E","B17017_034M","B17017_035E","B17017_035M","B17017_036E","B17017_036M","B17017_037E","B17017_037M","B17017_038E","B17017_038M","B17017_039E","B17017_039M","B17017_040E","B17017_040M","B17017_041E","B17017_041M","B17017_042E","B17017_042M","B17017_043E","B17017_043M","B17017_044E","B17017_044M","B17017_045E","B17017_045M","B17017_046E","B17017_046M","B17017_047E","B17017_047M","B17017_048E","B17017_048M","B17017_049E","B17017_049M","B17017_050E","B17017_050M","B17017_051E","B17017_051M","B17017_052E","B17017_052M","B17017_053E","B17017_053M","B17017_054E","B17017_054M","B17017_055E","B17017_055M","B17017_056E","B17017_056M","B17017_057E","B17017_057M","B17017_058E","B17017_058M","B17017_059E","B17017_059M"
"1500000US720019567002","Block Group 2, Census Tract 9567, Adjuntas Municipio, Puerto Rico","390","69","265","68","168","59","45","28","0","14","5","9","40","26","0","14","123","60","13","21","0","14","0","14","13","21","0","14","110","55","0","14","62","42","38","36","10","11","97","42","17","20","0","14","13","19","0","14","4","8","80","36","0","14","0","14","13","11","67","35","125","41","106","40","71","35","0","14","20","24","32","25","19","13","35","28","5","9","0","14","0","14","5","9","0","14","30","26","0","14","9","16","13","19","8","9","19","14","4","6","0","14","0","14","0","14","4","6","15","13","0","14","0","14","9","7","6","10"
"1500000US720019568001","Block Group 1, Census Tract 9568, Adjuntas Municipio, Puerto Rico","613","107","425","105","284","92","171","72","0","14","66","53","63","44","42","31","113","68","11","19","0","14","0","14","11","19","0","14","102","64","0","14","57","52","12","20","33","35","141","70","76","64","0","14","0","14","50","57","26","29","65","46","0","14","0","14","40","39","25","24","188","83","124","65","105","65","0","14","55","52","29","32","21","26","19","22","8","12","0","14","0","14","0","14","8","12","11","17","0","14","0","14","0","14","11","17","64","54","34","38","0","14","0","14","0","14","34","38","30","37","0","14","0","14","23","36","7","11"
"1500000US720019568002","Block Group 2, Census Tract 9568, Adjuntas Municipio, Puerto Rico","765","116","398","104","300","98","184","83","0","14","55","50","49","51","80","53","116","66","11","18","11","18","0","14","0","14","0","14","105","63","0","14","74","57","21","33","10","16","98","59","31","36","0","14","0","14","0","14","31","36","67","44","0","14","13","20","12","20","42","41","367","96","278","88","200","76","0","14","62","43","70","43","68","48","78","55","48","49","0","14","0","14","36","46","12","20","30","34","0","14","0","14","15","24","15","23","89","54","75","50","0","14","0","14","60","44","15","24","14","22","0","14","0","14","14","22","0","14"
"1500000US720034301001","Block Group 1, Census Tract 4301, Aguada Municipio, Puerto Rico","502","104","259","93","168","73","103","61","0","14","25","39","50","45","28","27","65","51","0","14","0","14","0","14","0","14","0","14","65","51","0","14","0","14","32","37","33","35","91","61","47","44","0","14","14","22","33","39","0","14","44","42","0","14","0","14","0","14","44","42","243","86","194","80","148","73","0","14","0","14","54","44","94","57","46","42","17","27","0","14","0","14","0","14","17","27","29","33","0","14","0","14","0","14","29","33","49","40","37","35","0","14","0","14","0","14","37","35","12","20","0","14","0","14","0","14","12","20"
"1500000US720034301002","Block Group 2, Census Tract 4301, Aguada Municipio, Puerto Rico","614","115","290","92","150","78","133","74","0","14","0","14","91","66","42","40","17","27","0","14","0","14","0","14","0","14","0","14","17","27","0","14","0","14","17","27","0","14","140","77","74","58","0","14","26","40","32","34","16","25","66","51","0","14","0","14","27","22","39","45","324","105","295","108","202","105","0","14","59","69","80","59","63","43","93","65","25","31","0","14","0","14","25","31","0","14","68","57","0","14","23","38","29","33","16","26","29","33","29","33","0","14","0","14","18","28","11","17","0","14","0","14","0","14","0","14","0","14"
"1500000US720034301003","Block Group 3, Census Tract 4301, Aguada Municipio, Puerto Rico","289","81","124","59","63","54","26","28","0","14","0","14","14","21","12","20","37","44","0","14","0","14","0","14","0","14","0","14","37","44","13","20","24","39","0","14","0","14","61","48","13","21","0","14","0","14","13","21","0","14","48","43","0","14","0","14","30","34","18","28","165","75","116","70","104","69","0","14","0","14","67","64","37","26","12","19","0","14","0","14","0","14","0","14","0","14","12","19","0","14","0","14","12","19","0","14","49","47","34","40","0","14","0","14","22","35","12","20","15","24","0","14","0","14","0","14","15","24"
"1500000US720034302001","Block Group 1, Census Tract 4302, Aguada Municipio, Puerto Rico","797","159","414","154","247","122","95","78","0","14","0","14","79","75","16","24","152","111","33","53","0","14","0","14","33","53","0","14","119","98","0","14","36","59","50","56","33","53","167","110","70","82","0","14","0","14","70","82","0","14","97","73","0","14","27","44","22","35","48","46","383","135","231","118","125","88","0","14","41","66","22","37","62","50","106","88","63","74","0","14","0","14","40","64","23","36","43","52","0","14","29","46","14","23","0","14","152","91","19","32","0","14","0","14","0","14","19","32","133","84","0","14","0","14","44","48","89","72"
"1500000US720034302002","Block Group 2, Census Tract 4302, Aguada Municipio, Puerto Rico","343","108","236","102","121","81","0","14","0","14","0","14","0","14","0","14","121","81","48","55","0","14","31","49","17","29","0","14","73","62","0","14","59","58","0","14","14","23","115","90","46","54","0","14","0","14","15","23","31","49","69","71","0","14","0","14","15","23","54","67","107","77","79","63","79","63","0","14","0","14","67","64","12","19","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","28","46","0","14","0","14","0","14","0","14","0","14","28","46","0","14","0","14","0","14","28","46"
"1500000US720034302003","Block Group 3, Census Tract 4302, Aguada Municipio, Puerto Rico","156","86","86","79","56","64","23","36","0","14","0","14","0","14","23","36","33","52","0","14","0","14","0","14","0","14","0","14","33","52","0","14","0","14","33","52","0","14","30","47","0","14","0","14","0","14","0","14","0","14","30","47","0","14","0","14","0","14","30","47","70","59","70","59","56","55","0","14","23","36","0","14","33","40","14","22","0","14","0","14","0","14","0","14","0","14","14","22","0","14","0","14","0","14","14","22","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14","0","14"
"1500000US720034302004","Block Group 4, Census Tract 4302, Aguada Municipio, Puerto Rico","512","154","306","118","202","100","59","42","0","14","0","14","40","45","19","30","143","99","23","37","0","14","23","37","0","14","0","14","120","100","0","14","96","89","24","40","0","14","104","76","72","56","0","14","0","14","28","46","44","52","32","52","0","14","0","14","0","14","32","52","206","118","173","107","42","46","0","14","0","14","42","46","0","14","131","93","42","50","0","14","0","14","29","46","13","20","89","85","0","14","31","50","27","44","31","51","33","51","0","14","0","14","0","14","0","14","0","14","33","51","0","14","0","14","0","14","33","51"
"1500000US720034303001","Block Group 1, Census Tract 4303, Aguada Municipio, Puerto Rico","237","87","158","67","111","57","12","21","0","14","0","14","12","21","0","14","99","57","23","35","0","14","0","14","23","35","0","14","76","55","0","14","17","28","32","36","27","30","47","44","15","24","0","14","0","14","15","24","0","14","32","37","0","14","0","14","0","14","32","37","79","58","67","54","29","33","0","14","0","14","29","33","0","14","38","45","0","14","0","14","0","14","0","14","0","14","38","45","0","14","21","36","0","14","17","28","12","20","12","20","0","14","0","14","12","20","0","14","0","14","0","14","0","14","0","14","0","14"
